URL,VISITED,N/A,PROOF,CONTESTED,REJECTED,NOTES ON WHY N/A,NOTES ON WHY PROOF,ADDITIONAL NOTES,"TRANSLATION OF ""NOTES ON WHY N/A"" (COL G)","TRANSLATION OF ""NOTES ON WHY PROOF"" (COL K)","TRANSLATION OF ""ADDITIONAL NOTES"" (COL I)"
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-225_2019-08-14.pdf,YES,NO,YES,NO,,,Confirme les soupçons suffisants: elle n’a pas dormi sans discontinuer jusqu’à 3 heures puisqu’elle a répondu à un message WhatsApp à 02h42,,,Confirms sufficient suspicion: she did not sleep continuously until 3 a.m. since she responded to a WhatsApp message at 2:42 a.m.,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-76_2020-08-11.pdf,YES,NO,YES,YES,NO,"The messages were deemed credible by the judge and not important enough to overturn the case: On notera encore que la recourante ne soutient pas que les messages en question ne figuraient pas aux dossiers quand son avocate les a consultés. Son argumentation ne convainc ainsi pas, loin s’en faut. Dans ces circonstances, il n’y pas lieu d’ordonner une analyse des téléphones portables des parties. Par ailleurs, même dans l’hypothèse où une telle analyse était ordonnée et qu’elle démontrait que les messages n’émanaient pas de la recourante, cela ne constituerait pas encore un soupçon suffisant que l’intimé s’est rendu coupable d’une ou plusieurs infractions pénales à l’égard de son fils.",,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2021-237_2021-11-16.pdf,YES,NO,YES,NO,,,"En définitive, il existe en l’état du dossier des indices (note: including messages) concrets et suffisants, de surcroît renforcés, que le plaignant se fiait aux indications de la recourante en qui il avait confiance et que le rôle de celle-ci est beaucoup plus central et stratégique qu’elle ne le prétend.",Appeal: The decision is not really about the evidence but mostly about the flight risk,,"Ultimately, in the state of the file there are concrete and sufficient indications (note: including messages), moreover reinforced, that the complainant relied on the indications of the appellant in whom he had confidence and that the latter's role is much more central and strategic than it claims.",
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2023---441_nodate.html,YES,YES,,,,"Le 6 septembre 2019, [...] a publié en photo sur son profil WhatsApp accessible par des tiers",,,"On September 6, 2019, [...] published a photo on his WhatsApp profile accessible by third parties",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-15520-2022_2022-11-30.html,YES,NO,YES,NO,,,"2.2.3. En l'espèce, le recourant estime disposer de la qualité pour porter plainte, étant donné que l'auteure du message visait à lui nuire. Toutefois, il est constant que le message litigieux ne lui a pas été envoyé mais à B______, de sorte que c'est elle qui a été, par hypothèse, importunée ou inquiétée en tant que personne appelée. Le recourant ne prétend pas non plus être le détenteur du raccordement, ni son utilisateur.",,,"2.2.3. In this case, the appellant considers that he has the standing to file a complaint, given that the author of the message aimed to harm him. However, it is common ground that the disputed message was not sent to her but to B______, so that it was she who was, hypothetically, bothered or disturbed as the person called. The appellant also does not claim to be the holder of the connection, nor its user.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-16796-2017_2018-05-08.html,YES,YES,,,,"En l'espèce, les courriels litigieux sont datés du ______ 2017. En revanche, la copie que le recourant a produite des messages adressés par l'application WhatsApp ne permet pas de déterminer la date de leur envoi, mais le recourant allègue qu'ils l'auraient été ""immédiatement après"" la parution de l'article de presse.",,,"In this case, the disputed emails are dated ______ 2017. On the other hand, the copy that the appellant produced of the messages sent by the WhatsApp application does not make it possible to determine the date of their sending, but the appellant alleges that they would have been ""immediately after"" the publication of the press article.",,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-84_2022-06-10.pdf,YES,YES,,,,"The plaintif was scammed through whatsapp, the case was dismissed",,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-18317-2020_2022-09-09.html,YES,YES,,,,WA mentioned but messages aren't produced nor considerend as evidence,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-18_2020-03-04.pdf,YES,YES,,,,"A l’appui de ce qui précède, la recourante produit un échange de messages, but not recognised as proof or relevant for the decision",,,"In support of the above, the Appellant produces an exchange of messages, but not recognized as proof or relevant for the decision",,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-31_2019-02-26.pdf,YES,NO,YES,NO,,,Recours contre le refus de remise en liberté. Messages are more like evidence for the underlying case but help the judge make a decision nonetheless.,,,Appeal against refusal of release. Messages are more like evidence for the underlying case but help the judge make a decision nonetheless.,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-19781-2016_2017-12-08.html,YES,NO,YES,NO,,,Drug trafficking: whatsapp messages used to establish the link between the defendants,Can be interesting for citations,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-107_2020-09-16.pdf,YES,YES,,,,Appeal: WA not relevant for outcome,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-288_2019-11-18.pdf,YES,YES,,,,Case dismissed,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-63_2022-03-28.pdf,YES,YES,,,,"A titre exceptionnel, A.________ est autorisé à prendre contact avec B.________, par voie téléphonique ou par message WhatsApp uniquement, afin d'organiser tout contact avec les enfants.",,,"Exceptionally, A.________ is authorized to contact B.________, by telephone or WhatsApp message only, in order to organize any contact with the children.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-21424-2022_2022-12-13.html,YES,YES,,,,See notes,,"Messages brought by the plaintif are deemed not trustworthy: Or, les messages produits avec cette plainte – et dont rien n’établit au demeurant l’authenticité, puisqu’ils se présentent sous la forme d’une transcription dactylographiée linéaire, sans que la source alléguée, WhatsApp, n’y apparaisse ou n’y soit reconnaissable, pas plus que l’identité réelle des interlocuteurs – ne révèle rien d’autre que des échanges d’une certaine banalité sur des aspects de la vie quotidienne ou familiale. Les conversations sur la vie politique, passée ou présente, au Rwanda n’amènent pas à une autre conclusion.",,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-2975-2022_2022-06-24.html,YES,YES,,,,"Whatsapp messages in the underlying case, but case dismissed",,"Geneva policeman using whatsapp to speak with ""informant"", can be useful for citations",,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-19131-2020_2023-05-30.html,YES,NO,YES,NO,,"2.6.1. En l'espèce, il est établi que l'appelant, en sa qualité de policier et fonctionnaire, a envoyé alors qu'il ne bénéficiait d'aucune autorisation en ce sens à C______ les messages incriminés des 16 novembre 2018, 31 janvier 2019 et 4 février 2019, via l'application WhatsApp de son téléphone privé, sans qu'il n'y ait lieu de douter du fait que ce dernier les ait reçus et ait ainsi eu tout le loisir d'en prendre connaissance, au vu du fil de discussion entre les précités versé à la procédure. Ces messages contenaient des données personnelles sensibles relatives à des travailleuses du sexe obtenues par l'appelant dans le cadre de ses fonctions, soit un extrait personnel du fichier ""D______"" concernant E______ et F______, ainsi que des documents de l'OP – soit des mandats de conduite concernant cette dernière, G______ et H______.",,,"2.6.1. In this case, it is established that the appellant, in his capacity as a police officer and civil servant, sent the incriminated messages of November 16, 2018, January 31, 2019 and February 4, 2019, via the WhatsApp application on his private phone, without there being any reason to doubt that the latter had received them and thus had plenty of time to read them, in view of the thread discussion between the aforementioned paid to the procedure. These messages contained sensitive personal data relating to sex workers obtained by the caller in the course of his duties, i.e. a personal extract from the ""D______"" file concerning E______ and F______, as well as documents from the OP – i.e. driving mandates concerning the latter, G______ and H______.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-7180-2020_2022-10-06.html,YES,NO,YES,NO,,,"3.2.5. Concernant la conversation WhatsApp du 27 septembre 2019, les termes qu'y emploie l'intimé pour amener la recourante à l’appeler (""[j]e crois que tu te rend[s] pas compte de ce que je peux te fair[e]""; ""[c]rois[-]moi que tu vas regretter""; ""c’est pas des menaces c’est un avertissement"") sont trop imprécis pour être objectivement de nature à effrayer ou à alarmer un destinataire raisonnable.",,,"3.2.5. Concerning the WhatsApp conversation of September 27, 2019, the terms used by the Respondent to get the Appellant to call him (""[I] think you don't realize what I can do to you e]""; ""[believe[-]me that you will regret""; ""these are not threats, they are a warning"") are too imprecise to be objectively likely to frighten or alarm a reasonable recipient.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-20041-2019_2021-11-24.html,YES,NO,YES,NO,,,"Cela étant, il est impossible de mettre en évidence pour chaque acte allégué, un comportement suffisamment précis dont la combinaison et l'accumulation laisseraient entrevoir une tentative de contrainte, à l'instar des conversations WhatsApp retenues dans l'acte d'accusation qui ne permettent pas individuellement d'incriminer l'appelant.",,,"That being said, it is impossible to highlight for each alleged act a sufficiently precise behavior whose combination and accumulation would suggest an attempt at coercion, like the WhatsApp conversations included in the indictment which do not cannot individually incriminate the appellant.",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2023-84_2023-06-13.pdf,YES,YES,,,,Only used to describe facts but not used as evidence. ,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-124_2019-05-21.pdf,YES,YES,,,,Recours contre non-entrée en matière – défaut du plaignant,,,Appeal against non-entry into the matter – default of the plaintiff,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-304_2019-11-19.pdf,YES,YES,,,,Sound of WA message reception,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-8836-2018_2021-11-30.html,YES,NO,YES,NO,,,"Il en va de même des délits contre l’honneur, résultant tous des messages WhatsApp s’étant achevés au plus tard le 12 octobre 2017 et ayant été portés à la connaissance du recourant C______ durant cette année-là, selon le témoin entendu devant la juridiction des Prud’hommes qui lui avait transmis ces messages.",,,"The same applies to crimes against honor, all resulting from WhatsApp messages having ended no later than October 12, 2017 and having been brought to the attention of the appellant C______ during that year, according to the witness heard before the industrial tribunal which had transmitted these messages to him.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-23526-2018_2022-09-01.html,YES,YES,,,,"Le fait que l'instruction ait porté sur d'éventuels transferts litigieux, via WhatsApp, ne saurait aucunement pallier les carences de l'acte d'accusation en matière de délimitation de l'objet du procès et d'information du prévenu, dès lors que celui-ci doit comprendre, sur la base de ce seul document, ce qui lui est précisément reproché.",,,"The fact that the investigation related to possible disputed transfers, via WhatsApp, cannot in any way compensate for the deficiencies of the indictment in terms of delimitation of the subject of the trial and information of the accused, therefore that he must understand, on the basis of this document alone, what precisely he is accused of.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-2912-2020_2021-07-13.html,YES,YES,,,,Chambre administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-21299-2022_2023-05-04.html,YES,YES,,,,WA mentioned but not used as evidence,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-2401-2023_2023-11-13.html,YES,NO,YES,NO,,,"3.3. En l'espèce, il est constant que la recourante, par le biais de son associé gérant, a sollicité le mis en cause pour vendre le véhicule. Les échanges WhatsApp permettent de retenir un accord entre les intéressés pour une commission de CHF 2'800.- en faveur du mis en cause pour ce service, même si ce dernier a déclaré l'inverse à la police.",,,"3.3. In this case, it is common ground that the Appellant, through its managing partner, requested the respondent to sell the vehicle. The WhatsApp exchanges make it possible to retain an agreement between the interested parties for a commission of CHF 2,800.- in favor of the accused for this service, even if the latter declared the opposite to the police.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-15754-2015_2017-05-30.html,YES,NO,YES,NO,,,"A cela s'ajoute, ainsi que l'ont souligné les premiers juges, une correspondance manifeste, durant ce laps de temps, entre la chronologie et le contenu des messages adressés par ""bP______"" à aE______, ceux échangés entre ""Tall Man"" et l'appelant et les propres interventions de ce dernier, certains des propos ne laissant guère de doute, au vu des circonstances, sur les activités envisagées (cf. ""do you think everything is safe there"" ""a______"" et ""send me the number"" envoyés par l'appelant à ""______10"" le 18 août 2015, ""les gens étaient en train de te chercher"" envoyé par ""bP______"" à la mule peu après le passage de l'appelant et de ""John"" à l'hôtel, puis, toujours entre ces deux interlocuteurs, ""c'est lui qui va ramasser les trucs"", après la confirmation des échanges entre aE______ et l'appelant).",,,"Added to this, as the first judges pointed out, was a clear correspondence, during this period of time, between the chronology and the content of the messages sent by ""bP______"" to aE______, those exchanged between ""Tall Man"" and the caller and the latter's own interventions, some of the remarks leaving little doubt, given the circumstances, about the activities envisaged (cf. ""do you think everything is safe there"" ""a______"" and ""send me the number "" sent by the caller to ""______10"" on August 18, 2015, ""people were looking for you"" sent by ""bP______"" to the mule shortly after the caller and ""John"" visited the hotel , then, still between these two interlocutors, ""he's the one who will pick up the stuff"", after confirmation of the exchanges between aE______ and the caller).",
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_013_D-cision---2019---22_nodate.html,YES,YES,,,,"Recours contre ordonnance de classement, WA messages do not play a role",,,"Appeal against classification order, WA messages do not play a role",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-11428-2019_2022-07-01.html,YES,NO,YES,NO,,,WA messages used to make final decision,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2017-180_2017-06-27.pdf,YES,YES,,,,WA messages not found.,,Interesting for citations.,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-1200-2020_2023-01-27.html,YES,YES,,,,WA messages not used as evidence but only mentioned,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-1631-2023_2023-11-24.html,YES,YES,,,,Chambre administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-205_2022-12-09.pdf,YES,YES,,,,WA messages not used as evidence but only mentioned,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-8307-2023_2023-10-04.html,YES,NO,YES,NO,,,Les messages WhatsApp extraits de son téléphone sont évocateurs de transactions,,,WhatsApp messages taken from his phone are suggestive of transactions,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_TP_001_P-15766-2018_2019-11-12.html,YES,NO,YES,NO,,,Sextortion case based on whatsapp messages,,,,
https://entscheidsuche.ch/docs/TI_Gerichte/TI_TRAP_002_60-2022-41_2022-10-18.html,YES,NO,YES,NO,,,"Si è detto che in sede di esposto penale la reclamante ha altresì indicato che vi sarebbe “stato persino il tentativo di manomettere la recinzione. Anzi, per la verità __________ (per ora solo lui) ha in un primo tempo reciso dei fermi (…) e poi ha cercato di divellere lo steccato”. Ne sarebbe seguita una diffida via WhatsApp, “pena la denuncia per danneggiamento e violazione di domicilio”, avvertimento ribadito anche per lettera (p. 7, AI 1). Ora, tale asserzione non può essere ritenuta una chiara ed inequivocabile dichiarazione di volontà di perseguire __________ per tali ipotesi. Il semplice fatto di affermare che avrebbe reciso dei fermi e tentato di divellere lo steccato, diffidandolo a non toccare la recinzione né ad entrare, pena una denuncia, non è sufficiente a ritenere che vi sia stata una valida querela in tal senso, e ciò a prescindere dall’eventuale sua tempestività.",,,"It was said that in the criminal complaint the complainant also indicated that there had ""even been an attempt to tamper with the fence. Indeed, to tell the truth __________ (for now only him) initially cut some of the fences (...) and then tried to tear down the fence"". A warning would follow via WhatsApp, ""under penalty of being reported for damage and trespass"", a warning also reiterated by letter (p. 7, AI 1). Now, this statement cannot be considered a clear and unequivocal declaration of willingness to pursue __________ for such hypotheses. The simple fact of stating that he would have severed the restraints and attempted to tear down the fence, warning him not to touch the fence or enter, under penalty of a complaint, is not sufficient to believe that there was a valid complaint to this effect, and this to regardless of its timeliness.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-18308-2021_2021-11-26.html,YES,YES,,,,demande de remise en liberté provisoire: WA only used in the related case,,,application for provisional release: WA only used in the related case,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-2719-2020_2021-02-02.html,YES,NO,YES,NO,,,Slander in whatsapp group that led to the sacking of one of the members,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-25515-2023_2023-12-22.html,YES,YES,,,,"appeal against refusal of relase, WA used in the actual case",,,,,
https://entscheidsuche.ch/docs/JU_Gerichte/JU_TC_004_CPR-2022-140_2023-01-16.pdf,YES,NO,YES,NO,,,"Videos sent on whatsapp used as proof that the ""recourant"" broke the law, wihch is used to reject the appeal",,,"Videos sent on whatsapp used as proof that the ""recourant"" broke the law, wihch is used to reject the appeal",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-182_2019-06-28.pdf,YES,YES,,,,"WA used as proof in the underlying case, this one is an appeal about the détention provisoire",,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-231_2019-08-29.pdf,YES,YES,,,,same case as previous one,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-14_2019-02-19.pdf,YES,YES,,,,défaut à une addition - WA not used,,,default in an addition - WA not used,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-3463-2018_2019-05-21.html,YES,NO,YES,NO,,,WA messaged used extensively to understand the relationship between A and B,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-990-2022_2023-05-02.html,YES,NO,YES,NO,,,Police officer sanctioned due to slander/images/videos sent on a WA group,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2021-159_2021-08-18.pdf,YES,YES,,,,Not sure WA is used there: Une première analyse de son téléphone portable par la police semble également indiquer que deux autres personnes pourraient avoir été trompées selon le même mode opératoire,,,Not sure WA is used there: A first analysis of his mobile phone by the police also seems to indicate that two other people could have been deceived using the same modus operandi,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-19228-2021_2022-11-23.html,YES,NO,YES,NO,,,WA exchanged used all along ,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-1438-2021_2022-02-25.html,YES,NO,YES,NO,,,"L'analyse du téléphone portable de l'appelant et, en particulier, des messages échangés via l'application WhatsApp, permet de tenir pour établi que celui-ci a participé en tant qu'intermédiaire à la négociation et à la vente de plusieurs objets.",Ses explications tardives relatives à l'utilisation de son téléphone portable par un tiers sont dénuées de crédibilité,,"Analysis of the caller's mobile phone and, in particular, of the messages exchanged via the WhatsApp application, makes it possible to establish that he participated as an intermediary in the negotiation and sale of several items .",His late explanations relating to the use of his mobile phone by a third party are devoid of credibility
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-8223-2021_2022-09-21.html,YES,YES,,,,A and B are forbidden to contact each other via WA,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-6315-2022_2023-12-05.html,YES,YES,,,,WA had been set to auto-delete messages. ,,Interesting: Doit également être examiné à charge le fait que les données WhatsApp des téléphones des deux hommes ont été éliminées,,,Interesting: Also to be examined is the fact that WhatsApp data from the two men's phones was deleted
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-3544-2022_2022-11-21.html,YES,YES,,,,"WA only mentioned: e.g. ""Pour la prise de rendez-vous, elle avait eu contact avec l'assistante par WhatsApp""",,,"WA only mentioned: e.g. ""To make an appointment, she had contact with the assistant by WhatsApp""",,
https://entscheidsuche.ch/docs/NE_Omni/NE_TC_009_CPEN-2017-98_2018-07-31.html,YES,YES,,,,Arrêt TF,,,TF decision,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-4257-2019_2020-08-27.html,YES,YES,,,,Not clear that WA are used as evidence + sometimes SMS are confused with WA,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-25665-2022_2023-04-26.html,YES,YES,,,,WA messages not used as evidence but only mentioned,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-20958-2021_2023-03-21.html,YES,YES,,,,WA only mentioned,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-2603-2022_2023-04-26.html,YES,YES,,,,Chambre Administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-212_2023-05-17.pdf,YES,YES,,,,Le travail consistait à réceptionner des fonds provenant de « clients » sur son compte bancaire puis de les virer sur un autre compte selon les instructions données par le prétendu employeur via Whatsapp,,,"The work consisted of receiving funds from ""clients"" into his bank account and then transferring them to another account according to the instructions given by the alleged employer via Whatsapp",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-1796-2022_2023-05-22.html,YES,YES,,,,Chambre administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_TP_001_P-17161-2016_2017-11-07.html,YES,NO,YES,NO,,,Threats sent on many channels including WA,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_013_D-cision---2020---97_nodate.html,YES,YES,,,,Bug: WA not mentioned,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-257-2020_2022-11-07.html,YES,YES,,,,not clear WA messages are used as evidence + appeal rejected,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-5629-2014_2017-02-07.html,YES,YES,,,,"appeal rejected, WA useless",,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-10477-2020_2022-09-23.html,YES,YES,,,,whatsapp calls mentionned but don't seem relevant to the case,,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2016---387_nodate.html,YES,NO,YES,NO,,,WA messages used to establish the sequence of events ,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-1023-2020_2020-09-08.html,YES,YES,,,,Chambre administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-18649-2022_2023-04-24.html,YES,YES,,,,"appeal against custody extension, rejected",,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-550-2020_2020-04-30.html,YES,YES,,,,chambre administrative,,,administrative chamber,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2019-282_2020-02-21.pdf,YES,YES,,,,a video was transmitted via WA to the police,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-15649-2017_2018-05-29.html,YES,NO,YES,NO,,,WA messages used as proof in the underlying case,,,,
